complete_game,earned_runs,hbp,hits,hits_per_nine,homeruns,hr_per_nine,innings_pitched,left_on_base,pitcher_age,pitchers_used,runs,so_per_nine,so_walk,strikeouts,team,walks,walks_per_nine,whip,year
38,566,27,1334,8.3,144,0.9,1445.0,1076,27.5,18,631,5.6,2.04,893,ATL,438,2.7,1.226,1969.0
50,463,22,1194,7.3,117,0.7,1473.2,1033,27.7,14,517,5.5,1.80,897,BAL,498,3.0,1.148,1969.0
30,639,48,1423,8.7,155,1.0,1466.2,1257,26.5,19,736,5.7,1.37,935,BOS,685,4.2,1.437,1969.0
25,566,51,1294,8.1,126,0.8,1438.1,1032,26.6,19,652,5.5,1.71,885,CAL,517,3.2,1.259,1969.0
58,540,29,1366,8.5,118,0.7,1454.1,1129,27.6,17,611,6.3,2.14,1017,CHC,475,2.9,1.266,1969.0
29,672,33,1470,9.2,146,0.9,1437.2,1168,28.4,20,723,5.1,1.44,810,CHW,564,3.5,1.415,1969.0
23,669,56,1478,9.1,149,0.9,1465.0,1270,27.3,17,768,5.0,1.34,818,CIN,611,3.8,1.426,1969.0
35,629,48,1330,8.3,134,0.8,1437.0,1198,27.3,16,717,6.3,1.47,1000,CLE,681,4.3,1.399,1969.0
55,536,34,1250,7.7,128,0.8,1455.1,1138,28.1,16,601,6.4,1.76,1032,DET,586,3.6,1.262,1969.0
52,574,35,1347,8.4,111,0.7,1435.2,1151,25.6,18,668,7.7,2.23,1221,HOU,547,3.4,1.319,1969.0
42,605,25,1357,8.3,136,0.8,1464.2,1140,25.2,16,688,5.5,1.60,894,KCR,560,3.4,1.309,1969.0
47,499,38,1324,8.2,122,0.8,1457.0,1096,27.3,14,561,6.0,2.32,975,LAD,420,2.6,1.197,1969.0
41,539,38,1388,8.3,119,0.7,1497.2,1183,28.9,15,618,5.4,1.73,906,MIN,524,3.1,1.277,1969.0
26,686,49,1429,9.0,145,0.9,1426.0,1238,26.8,18,791,6.1,1.39,973,MON,702,4.4,1.494,1969.0
51,487,29,1217,7.5,119,0.7,1468.1,1081,25.8,15,541,6.2,1.96,1012,NYM,517,3.2,1.181,1969.0
